SiteID,Ts,NOx,NO2,NO,PM10,NVPM10,VPM10,NVPM2.5,PM2.5,VPM2.5,CO,O3,SO2,Location,Lat,Long
271,1099425600,80.96,30.4,32.96,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099461600,41.49,23.88,11.49,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099494000,17.34,8.4,5.83,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099497600,6.71,5.24,0.96,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099569600,21.07,12.16,5.81,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099591200,30.76,23.8,4.54,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099659600,39.38,28.07,7.37,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099666800,53.21,37.44,10.28,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099681200,37.4,33.13,2.78,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099692000,47.58,43.1,2.92,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099702800,32.1,30.14,1.28,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099728000,20.05,15.65,2.87,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099742400,20.49,15.22,3.43,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099814400,14.5,11.05,2.25,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099825200,8.92,4.32,3.0,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099861200,16.65,12.75,2.54,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099879200,14.05,13.06,0.64,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099890000,12.05,10.37,1.1,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099897200,38.9,29.21,6.32,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
271,1099933200,213.02,66.69,95.41,,,,,,,,,,"Trailer Portway P&R",51.4899934596,-2.68877856929
